Name,Color,Concern,Center,Contract,Company,Category,Site,LOE,RunOut ,G&A
P1,NA,,,,,,On,1,1/1/2019,
P2,NA,,,,,,On,1,1/1/2019,
P3,NA,1,,,,,On,0,1/1/2019,
P4,NA,1,,,,,On,0,1/1/2019,
P5,NA,1,,,,,Off,0,1/1/2019,
P6,NA,1,,,,,Off,0,1/1/2019,
P7,NA,0.5,,,,,Off,0,1/1/2019,
P8,NA,,,,,,Off,1,1/1/2019,
P9,NA,,,,,,Off,1,1/1/2019,
P10,NA,,,,,,On,1,1/1/2019,
P11,NA,,,,,,On,0.4,1/1/2019,
P12,NA,,,,,,Off,0.1,1/1/2019,
P13,NA,,,,,,On,1,1/1/2019,
P14,NA,,,,,,On,0.5,1/1/2019,
P15,NA,,,,,,On,0.5,1/1/2019,
P16,NA,,,,,,On,1,1/1/2019,
P17,NA,,,,,,On,0.15,1/1/2019,
P18,NA,,,,,,On,0.3,1/1/2019,
P19,NA,,,,,,On,0.18,1/1/2019,
P20,NA,,,,,,On,0.12,1/1/2019,
P21,NA,,,,,,On,0.4,1/1/2019,
P22,NA,,,,,,On,0.6,1/1/2019,
P23,NA,,,,,,On,1,1/1/2019,
P24,NA,,,,,,On,1,1/1/2019,
P25,NA,,,,,,Off,0,1/1/2019,
P26,NA,,,,,,On,0,1/1/2019,
P27,NA,,,,,,Off,0,1/1/2019,
P28,NA,,,,,,Off,0,1/1/2019,
P29,NA,,,,,,Off,0,1/1/2019,
P30,NA,,,,,,Off,0,1/1/2019,
P31,NA,,,,,,Off,0.5,1/1/2019,
P32,NA,,,,,,Off,0.5,1/1/2019,
P33,NA,,,,,,On,1,1/1/2019,Contract
P34,NA,,,,,,On,1,1/1/2019,
P35,NA,,,,,,On,1,1/1/2019,
P36,NA,,,,,,On,1,1/1/2019,
P37,NA,,,,,,On,1,1/1/2019,
P38,NA,,,,,,On,1,1/1/2019,
P39,NA,,,,,,On,1,1/1/2019,
P40,NA,,,,,,On,1,1/1/2019,
P41,NA,,,,,,On,1,1/1/2019,
P42,NA,,,,,,On,1,1/1/2019,
P43,NA,,,,,,On,1,1/1/2019,
P44,NA,,,,,,On,1,1/1/2019,
P45,NA,,,,,,On,1,1/1/2019,
P46,NA,,,,,,On,1,1/1/2019,
